id;sexo;edad;deses16;deses17;deses18;deses19;satis16;satis19
169;2;28;2;NA;NA;NA;2;NA
170;1;71;1;1;2;2;4;3
171;2;71;1;1;NA;NA;5;NA
172;2;57;1;2;3;2;4;4
173;1;63;2;2;1;NA;2;NA
174;1;54;2;2;2;2;2;2
175;2;46;1;2;2;4;4;2
176;2;43;2;2;4;2;4;3
177;2;70;2;NA;NA;NA;4;NA
178;1;42;2;NA;NA;NA;4;NA
179;1;53;1;2;3;2;5;4
180;2;63;2;4;NA;2;5;4
181;1;22;2;2;NA;NA;2;NA
182;2;56;2;3;2;2;2;3
183;1;41;1;NA;NA;NA;4;NA
184;2;50;1;2;2;2;4;4
185;2;39;1;2;NA;NA;5;NA
186;1;38;1;1;3;1;5;4
187;1;51;2;2;2;2;2;4
188;2;50;2;NA;1;1;4;4
189;1;62;2;1;2;4;4;4
190;1;20;1;NA;NA;NA;3;NA
191;1;69;2;NA;NA;NA;4;NA
192;2;70;1;1;2;NA;4;NA
193;2;54;2;2;2;2;2;3
194;2;58;2;2;NA;NA;2;NA
195;2;54;2;2;3;2;4;4
196;2;28;1;2;NA;NA;5;NA
197;2;44;2;2;2;NA;2;NA
198;1;74;2;2;1;2;3;4
199;1;54;2;1;NA;1;4;5
200;2;74;2;2;NA;NA;4;NA
201;1;22;2;NA;NA;NA;3;NA
202;2;27;2;2;2;2;2;3
203;2;42;2;NA;2;NA;2;NA
204;2;46;1;2;1;1;2;4
205;2;40;2;2;2;2;2;4
206;1;19;2;2;NA;1;2;4
207;2;62;3;4;NA;2;2;2
208;1;44;1;1;1;1;2;4
209;2;51;4;2;3;3;4;4
210;2;46;2;2;NA;3;5;4
211;2;60;2;NA;2;2;4;4
212;2;60;2;2;1;1;5;4
213;1;52;2;1;1;2;4;4
214;2;40;2;1;2;2;4;4
215;1;38;1;1;2;1;5;5
216;1;67;1;1;1;2;4;4
217;1;68;1;2;3;2;4;4
218;2;68;1;3;4;NA;5;NA
219;2;60;2;3;4;5;3;4
220;2;31;2;NA;NA;NA;4;NA
221;2;43;1;1;1;2;4;5
222;2;44;1;1;2;2;5;4
223;1;29;1;1;NA;NA;4;NA
224;2;27;1;1;2;1;4;4
225;1;60;1;2;1;1;4;4
226;2;35;2;2;2;2;4;4
227;2;66;3;2;2;2;3;4
228;1;64;2;1;2;2;4;4
229;2;42;1;1;2;2;5;4
230;1;48;1;2;1;2;4;4
231;1;41;1;1;1;1;4;4
232;1;55;2;2;2;2;4;4
233;1;67;1;1;1;1;4;4
234;2;30;2;2;2;4;4;2
235;1;37;1;1;1;1;4;4
236;2;29;2;1;1;2;4;4
237;1;49;1;1;1;NA;5;3
238;2;42;2;2;2;3;3;3
239;1;73;2;1;1;1;2;2
240;1;22;2;1;2;NA;4;NA
241;2;50;1;3;NA;NA;4;NA
242;2;61;1;1;1;2;5;4
243;2;55;2;3;1;2;4;4
244;2;70;1;NA;NA;NA;3;NA
245;2;41;1;1;2;2;4;4
246;1;34;1;1;1;1;4;4
247;2;72;1;2;3;NA;4;NA
248;2;61;2;NA;NA;2;4;4
249;1;39;2;1;2;2;3;3
250;2;67;4;4;4;2;2;4
251;1;22;2;2;1;1;3;4
252;1;33;1;3;1;2;5;3
253;1;36;1;1;1;1;4;5
254;1;46;4;NA;NA;NA;4;NA
255;1;50;1;2;2;1;4;4
256;2;37;1;1;2;NA;5;NA
257;2;63;1;1;2;2;4;2
258;1;52;2;2;NA;1;4;4
259;2;65;1;1;2;2;5;5
260;2;31;2;2;1;2;4;4
261;2;48;1;1;1;1;4;3
262;2;30;1;1;2;2;4;5
263;1;71;1;1;2;NA;4;NA
264;1;61;1;NA;NA;NA;4;NA
265;2;69;2;2;1;5;4;4
266;2;57;1;1;2;2;4;4
267;2;24;1;1;1;2;4;4
268;1;51;4;2;1;4;4;4
269;1;54;1;1;2;1;4;4
270;2;68;1;2;2;2;5;5
271;1;60;2;1;1;3;4;5
272;1;30;2;1;1;NA;2;NA
273;2;45;1;1;2;2;4;4
274;2;46;1;2;2;2;4;4
275;2;56;3;1;2;2;4;4
276;2;34;1;2;1;4;5;3
277;2;74;2;1;2;2;4;4
278;2;34;2;2;2;3;4;4
279;1;37;2;2;2;NA;4;NA
280;1;58;1;1;1;NA;3;NA
281;1;61;1;1;1;1;4;5
282;2;51;1;1;1;2;4;4
283;2;62;2;2;1;2;4;5
284;1;54;1;1;1;2;5;4
285;2;28;2;2;2;1;4;4
286;1;67;1;2;NA;NA;4;NA
287;1;27;1;1;NA;NA;5;NA
288;2;58;2;2;2;5;4;3
289;2;45;2;1;1;2;4;4
290;2;53;1;2;1;NA;4;NA
291;2;47;2;2;2;2;2;2
292;2;50;2;NA;1;NA;2;NA
293;2;32;1;1;NA;NA;4;NA
294;2;53;2;1;1;2;4;4
295;2;45;1;1;2;2;4;4
296;2;43;2;NA;NA;1;4;4
297;2;65;2;2;2;2;4;4
298;2;48;1;NA;NA;NA;3;NA
299;2;74;4;2;2;2;3;4
300;1;37;2;1;1;1;3;2
301;2;37;2;1;1;1;4;4
302;1;59;1;1;1;1;4;4
303;1;68;1;1;NA;3;4;4
304;1;59;1;1;1;2;4;4
305;2;81;2;3;3;5;3;4
