id;sexo;edad;deses16;deses17;deses18;deses19;satis16;satis19
726;2;63;1;4;4;5;NA;4
727;1;65;1;2;1;2;2;4
728;1;28;2;NA;NA;NA;4;NA
729;2;65;1;1;NA;NA;5;NA
730;1;63;2;2;NA;NA;4;NA
731;2;68;2;2;NA;NA;4;NA
732;1;68;1;1;1;1;4;NA
733;2;19;2;NA;NA;NA;3;NA
734;2;19;1;NA;NA;NA;4;NA
735;1;45;2;NA;NA;NA;1;NA
736;2;54;1;NA;NA;NA;1;NA
737;2;43;3;NA;NA;NA;3;NA
738;1;41;4;NA;NA;NA;2;NA
739;2;56;1;1;2;NA;1;NA
740;2;56;2;NA;NA;NA;3;NA
741;2;61;2;NA;2;2;4;3
742;2;70;2;2;3;NA;4;NA
743;1;30;1;NA;NA;NA;4;NA
744;2;41;1;NA;NA;NA;5;NA
745;2;56;3;4;2;2;4;3
746;1;21;1;NA;1;2;2;1
747;1;73;1;2;2;2;5;4
748;2;60;2;1;1;3;2;4
749;2;22;2;NA;NA;2;2;4
750;2;70;2;NA;1;2;3;4
751;2;52;1;NA;NA;NA;4;NA
752;2;41;1;NA;NA;NA;4;NA
753;2;49;1;2;2;4;1;4
754;2;50;1;2;NA;NA;4;NA
755;2;48;4;2;4;2;4;4
756;1;23;1;NA;NA;NA;4;NA
757;1;52;2;1;2;2;5;4
758;1;52;1;1;1;1;4;4
759;1;32;1;2;NA;NA;4;NA
760;2;64;1;2;NA;NA;3;NA
761;2;52;2;NA;NA;NA;1;NA
762;2;54;2;NA;NA;NA;2;NA
763;2;25;2;2;2;2;4;4
764;2;41;2;2;2;3;4;4
765;1;40;1;1;1;NA;4;NA
766;1;55;1;NA;NA;NA;4;NA
767;1;73;2;4;2;4;4;1
768;2;60;2;2;2;1;4;5
769;2;35;2;1;2;2;5;4
770;1;49;1;1;1;1;5;5
771;2;56;1;1;1;1;5;5
772;1;40;2;NA;NA;NA;4;NA
773;1;48;2;2;2;2;3;3
774;2;60;2;5;3;1;4;3
775;2;41;3;2;1;2;5;5
776;1;28;1;3;NA;NA;4;NA
777;2;68;2;1;NA;2;3;4
778;2;45;1;1;1;1;4;4
779;1;32;2;NA;1;2;4;4
780;2;52;2;NA;2;1;4;4
781;1;29;2;1;1;1;4;4
782;2;53;1;2;NA;NA;4;NA
783;1;23;1;1;1;1;4;5
784;1;51;1;1;3;1;4;4
785;2;64;2;2;1;2;4;4
786;1;32;1;2;4;1;4;5
787;1;23;2;NA;NA;NA;2;NA
788;1;36;1;1;NA;NA;4;NA
789;1;64;2;NA;NA;2;5;4
790;2;68;2;NA;2;1;4;4
791;2;75;5;3;4;3;1;3
792;2;73;2;2;2;2;4;4
793;2;65;2;1;2;2;5;4
794;2;39;2;2;2;1;5;4
795;2;45;3;1;2;1;3;4
796;2;68;2;1;1;2;4;4
797;2;74;2;2;NA;2;5;3
798;2;30;2;2;1;1;4;3
799;1;63;2;2;NA;4;2;2
800;2;74;1;NA;1;1;5;5
801;2;29;1;1;NA;NA;4;NA
802;1;72;1;1;2;2;4;3
803;1;72;2;1;NA;NA;4;NA
804;2;56;1;2;4;2;4;4
805;1;41;1;3;1;2;5;5
806;1;50;1;NA;1;1;5;5
807;2;41;1;3;2;3;4;4
808;2;52;2;2;2;4;4;2
809;2;66;2;2;2;NA;4;NA
810;1;64;1;1;NA;NA;4;NA
811;2;58;2;1;1;1;4;4
812;2;61;2;NA;1;1;5;5
813;2;29;1;2;1;2;3;2
814;2;46;2;4;3;2;3;3
815;2;58;1;2;1;3;4;5
816;2;61;1;1;1;2;5;5
817;2;53;2;1;1;1;4;5
818;1;48;2;NA;1;NA;5;NA
819;2;48;3;1;1;1;2;3
820;2;56;2;NA;NA;NA;3;NA
821;2;45;2;2;1;1;4;5
822;1;57;2;2;1;1;4;4
823;2;65;3;3;5;2;2;4
824;2;20;2;2;4;2;4;2
825;1;58;1;1;2;2;5;4
826;2;31;2;1;NA;NA;3;NA
827;1;39;1;1;1;1;4;4
828;1;69;1;1;1;1;4;4
829;1;42;2;2;2;1;4;4
830;1;54;2;2;1;2;2;3
831;2;65;2;2;5;5;1;2
832;2;48;2;2;1;1;5;4
833;2;30;1;1;NA;1;4;4
834;1;59;2;1;1;1;3;4
835;2;54;2;NA;NA;NA;5;NA
836;2;75;2;3;3;3;4;1
837;2;71;2;1;NA;NA;4;NA
838;1;54;2;NA;NA;NA;3;NA
839;2;47;1;1;2;2;3;3
840;1;26;1;NA;2;2;3;3
841;2;64;2;2;1;1;4;4
842;1;62;1;1;2;2;4;4
843;2;46;1;NA;1;2;3;4
844;2;31;4;3;2;2;4;3
845;1;73;1;1;1;1;4;5
846;2;50;2;2;2;NA;4;NA
847;2;27;2;2;1;1;2;5
848;2;39;1;2;2;2;4;3
849;2;36;1;1;3;2;4;5
850;1;48;2;2;1;2;3;4
851;2;55;1;2;3;2;4;5
852;2;52;2;2;3;4;4;2
853;2;73;3;2;2;1;3;4
854;1;58;1;NA;NA;NA;3;NA
855;1;24;1;NA;NA;NA;4;NA
856;1;69;1;1;1;4;4;4
857;2;23;1;NA;NA;NA;4;NA
858;2;41;1;2;4;3;3;4
859;1;55;1;1;1;2;5;1
860;2;36;2;2;2;NA;4;NA
861;2;74;1;2;2;1;4;4
862;2;68;2;2;4;3;4;4
863;1;38;2;2;2;2;4;4
864;2;25;2;5;2;3;5;3
865;2;74;3;1;3;4;1;2
866;1;30;1;NA;NA;NA;4;NA
867;2;66;2;1;1;2;5;4
868;1;52;2;2;1;2;4;4
869;1;60;1;1;1;2;3;3
870;1;31;2;1;1;2;4;4
871;2;28;2;1;2;1;4;4
872;1;22;2;1;NA;NA;4;NA
873;2;72;5;4;5;NA;2;NA
874;1;43;1;1;1;1;4;3
875;2;65;1;2;1;2;5;4
876;1;37;1;NA;1;NA;5;NA
877;1;48;2;2;5;1;4;4
878;2;46;2;2;1;2;4;3
879;1;18;2;1;2;NA;4;NA
880;1;30;2;1;NA;NA;5;NA
881;1;44;1;NA;2;NA;4;NA
882;2;51;2;2;2;2;5;4
883;2;59;1;2;2;NA;4;NA
884;1;52;1;1;1;1;5;5
885;2;31;1;1;1;1;5;5
886;2;55;2;2;NA;NA;2;NA
887;1;51;2;1;2;1;4;1
888;2;46;2;2;4;2;2;2
889;2;30;2;2;4;4;4;4
890;2;46;1;1;1;1;4;4
891;2;58;1;2;2;2;4;4
892;1;38;2;4;1;2;1;3
893;2;58;3;2;3;3;2;3
894;2;43;2;2;1;NA;4;NA
895;2;41;2;2;NA;NA;4;NA
896;2;60;2;2;1;1;4;5
897;1;35;1;2;3;1;4;5
898;1;29;1;2;NA;NA;4;NA
899;2;51;4;NA;3;NA;1;NA
900;1;44;1;2;2;2;4;4
901;1;58;2;1;NA;3;4;5
902;2;44;2;1;NA;NA;4;NA
903;1;43;2;NA;NA;NA;2;NA
904;1;54;1;1;2;1;5;4
905;2;30;2;2;NA;NA;4;NA
906;2;33;1;NA;NA;NA;5;NA
907;2;68;1;2;NA;NA;5;NA
908;2;18;2;1;1;1;4;3
909;2;56;2;3;2;2;4;3
910;1;59;1;1;NA;NA;4;NA
911;1;23;2;NA;2;3;2;4
912;2;68;2;2;2;NA;4;NA
913;1;54;1;1;1;1;5;5
914;2;45;1;2;2;2;4;4
915;1;23;3;1;NA;NA;4;NA
916;2;30;1;1;1;2;5;4
917;2;40;4;2;2;2;4;3
918;2;49;2;2;4;2;4;3
919;2;58;2;3;2;2;5;4
920;1;70;2;NA;NA;NA;2;NA
921;2;18;2;2;1;2;4;4
922;2;43;5;1;NA;1;2;3
923;1;66;2;1;1;NA;4;NA
924;1;27;1;1;1;2;4;4
925;2;50;2;2;2;2;4;3
926;2;70;2;1;4;4;4;4
927;2;56;2;1;2;4;4;3
928;1;30;2;NA;NA;NA;4;NA
929;2;54;2;2;2;2;4;4
930;1;58;1;2;1;2;4;4
931;1;32;1;1;1;1;4;5
932;1;46;1;2;NA;NA;3;NA
933;2;25;1;1;2;2;5;4
934;1;75;1;1;1;1;4;4
935;2;42;3;NA;NA;NA;4;NA
936;2;27;2;2;3;2;4;3
937;1;33;1;1;NA;2;5;5
938;2;54;2;2;2;3;5;5
939;2;45;2;1;2;2;4;4
940;1;62;5;2;2;4;3;3
941;2;43;2;2;2;2;4;5
942;2;23;2;1;1;2;4;4
943;2;60;1;1;1;1;4;4
944;1;50;2;2;2;5;4;1
945;1;62;1;1;1;2;4;4
946;2;54;1;2;2;2;4;3
947;1;42;1;2;2;2;4;4
948;2;46;1;2;1;1;4;5
949;2;41;1;NA;NA;NA;4;NA
950;2;26;2;1;4;2;2;4
951;2;70;1;2;2;1;5;4
952;2;68;1;1;1;1;4;4
953;2;53;2;2;1;1;4;4
954;2;24;2;1;2;3;3;3
955;2;43;2;1;2;2;4;3
956;2;22;2;NA;NA;NA;4;NA
957;1;36;1;1;1;3;4;3
958;2;33;1;1;1;1;4;4
959;2;47;1;2;2;NA;4;NA
960;2;47;2;1;1;2;4;5
961;2;43;2;2;2;4;3;2
962;2;52;1;2;2;1;4;4
963;2;73;2;1;2;4;3;4
964;2;52;1;1;1;2;5;4
965;1;35;2;1;1;NA;4;NA
966;1;65;1;1;1;1;4;4
967;1;41;1;1;1;1;4;3
968;2;52;1;1;1;2;5;5
969;2;31;4;NA;NA;NA;4;NA
970;2;28;2;3;NA;NA;4;NA
971;2;62;2;2;2;2;3;3
972;1;60;2;1;1;1;4;4
973;2;27;2;2;NA;2;4;4
974;2;47;2;2;2;2;4;4
975;2;71;1;2;2;1;4;5
976;2;46;4;2;3;2;4;2
977;2;55;2;2;NA;NA;4;NA
978;1;25;2;4;5;2;4;4
979;2;74;2;2;2;1;4;4
980;2;39;3;3;2;2;4;4
981;1;44;2;2;1;2;4;4
982;1;26;2;2;NA;NA;4;NA
983;2;44;1;1;1;2;4;4
984;1;29;1;1;1;1;4;4
985;2;65;4;2;3;2;4;3
986;1;67;2;1;2;1;1;4
987;2;66;2;1;3;2;4;4
988;1;21;2;1;2;2;4;4
989;2;24;2;2;2;2;4;4
990;2;50;1;2;1;1;4;5
991;2;43;NA;1;1;1;5;5
992;2;35;2;4;1;2;3;4
993;1;74;2;2;1;2;4;4
994;2;37;2;2;1;2;4;4
995;2;56;2;4;4;3;2;2
996;2;46;2;1;1;1;4;4
997;2;24;2;2;2;2;4;4
998;1;59;1;1;3;5;4;4
999;1;63;1;1;1;1;5;5
1000;1;74;3;NA;NA;NA;2;NA
1001;1;52;1;2;1;NA;4;NA
1002;2;65;1;1;2;NA;4;NA
1003;1;38;1;1;1;1;4;4
1004;2;67;2;3;2;1;4;4
1005;1;33;1;1;2;NA;5;NA
1006;1;59;3;2;2;4;2;4
1007;1;45;2;2;1;2;4;4
1008;1;56;1;2;1;1;5;5
1009;2;68;1;4;1;1;4;5
1010;2;41;1;1;NA;NA;4;NA
1011;1;40;2;1;1;3;4;4
1012;1;26;4;2;2;2;3;3
1013;1;40;1;2;2;2;2;4
1014;1;50;1;1;1;1;4;4
1015;2;35;2;1;2;2;4;4
1016;1;63;1;1;1;1;5;5
1017;1;66;2;1;2;1;4;4
1018;2;51;2;NA;NA;NA;4;NA
1019;2;50;1;2;2;2;5;5
1020;2;48;2;5;2;NA;4;NA
1021;1;33;1;1;1;2;4;4
1022;1;47;2;NA;NA;NA;4;NA
1023;1;24;2;1;4;2;4;5
1024;1;43;1;NA;1;NA;5;NA
1025;2;28;2;1;1;1;3;5
1026;1;32;2;2;NA;2;4;5
1027;1;29;1;1;1;1;4;4
1028;2;34;2;2;1;2;3;4
1029;2;44;1;2;2;1;4;4
1030;1;59;1;2;1;1;4;4
1031;2;49;1;1;1;1;4;4
1032;2;56;2;4;3;2;4;4
1033;2;73;1;1;1;1;4;4
1034;1;29;2;1;2;1;4;4
1035;2;50;2;4;4;4;3;2
1036;2;22;2;2;NA;2;4;4
1037;2;55;4;2;2;2;4;3
1038;1;49;2;1;1;1;4;3
1039;1;43;4;3;5;2;2;3
1040;2;75;2;NA;NA;NA;5;NA
1041;2;34;2;1;3;2;4;4
1042;2;55;2;1;2;3;2;1
1043;2;66;2;4;5;3;3;4
1044;2;57;2;3;2;2;2;4
1045;2;43;1;4;3;2;4;2
1046;1;54;1;1;1;1;4;4
1047;1;35;2;NA;NA;NA;4;NA
1048;2;56;1;1;1;2;5;5
1049;2;48;2;1;2;2;5;5
1050;2;58;1;1;1;1;4;5
1051;2;41;2;2;2;2;4;2
1052;2;37;2;1;1;4;4;5
1053;1;73;1;1;1;1;4;3
1054;2;34;2;2;2;2;4;4
1055;2;73;2;3;2;NA;2;NA
1056;2;64;2;1;1;1;5;4
1057;2;53;4;4;5;4;5;4
1058;1;53;1;1;2;1;4;4
1059;2;55;1;1;1;2;5;4
1060;2;60;2;3;4;2;3;4
1061;2;74;2;NA;NA;NA;4;NA
1062;2;71;2;2;1;1;4;4
1063;1;31;1;2;2;2;3;2
1064;1;73;2;2;1;2;4;3
1065;1;75;2;2;1;2;3;3
1066;2;50;2;1;NA;NA;4;NA
1067;2;26;2;2;1;2;4;4
1068;2;73;3;NA;NA;NA;5;NA
1069;2;69;4;1;1;2;4;4
1070;2;21;1;2;1;2;4;5
1071;1;51;2;NA;NA;NA;4;NA
1072;1;31;2;1;2;1;2;3
1073;2;24;2;NA;NA;NA;4;NA
1074;1;29;1;1;NA;NA;5;NA
1075;1;58;1;1;2;1;4;4
1076;1;26;2;2;2;2;5;4
1077;1;31;1;2;NA;NA;5;NA
1078;1;46;2;2;3;2;3;3
1079;2;35;2;2;2;3;4;3
1080;1;54;2;2;2;2;5;4
1081;2;21;2;1;1;2;4;5
1082;2;33;2;1;1;2;4;4
1083;2;35;1;NA;NA;NA;4;NA
1084;2;47;1;NA;1;NA;4;NA
1085;2;47;4;4;4;2;2;2
1086;2;50;2;2;1;NA;4;4
1087;1;46;2;2;1;3;3;4
1088;1;22;2;2;4;2;4;4
1089;1;19;1;1;1;2;4;4
1090;2;49;2;2;2;3;4;4
1091;2;60;2;1;2;NA;4;NA
1092;2;23;1;2;1;2;2;4
1093;2;63;3;1;2;1;5;4
1094;1;42;1;2;1;NA;4;NA
1095;2;24;2;2;2;2;4;4
1096;1;22;2;1;1;2;2;5
1097;2;49;1;1;NA;2;4;4
1098;2;49;3;2;2;2;4;3
1099;2;54;4;4;3;4;3;3
1100;1;52;1;2;1;NA;4;NA
1101;2;50;1;1;1;1;4;5
1102;2;41;2;1;NA;NA;4;NA
1103;2;47;2;1;NA;NA;4;NA
1104;2;61;2;2;1;2;2;4
1105;2;56;2;2;2;2;5;5
1106;2;32;2;2;1;2;4;1
1107;2;32;2;5;2;2;5;3
1108;2;70;1;2;NA;NA;4;NA
1109;2;49;2;2;3;2;3;4
1110;1;33;2;1;NA;NA;4;NA
1111;1;21;2;2;2;1;4;4
1112;2;35;2;1;1;2;4;2
1113;2;72;2;4;5;5;4;2
1114;2;47;2;1;1;2;4;3
1115;1;36;2;1;2;2;4;5
1116;2;38;1;1;2;2;4;4
1117;2;65;2;5;2;4;4;5
1118;1;60;5;NA;3;4;4;4
1119;2;26;2;1;1;2;4;4
1120;1;45;1;1;1;1;4;4
1121;2;30;1;1;1;1;4;5
1122;1;30;2;1;1;1;4;4
1123;2;30;1;1;2;4;4;4
1124;1;67;2;2;1;1;5;4
1125;2;33;1;2;2;1;4;4
1126;1;33;1;1;2;4;4;2
1127;2;54;2;2;2;3;3;4
1128;1;51;2;2;1;2;3;4
1129;2;71;2;2;NA;NA;4;NA
1130;1;40;1;1;1;1;4;4
1131;2;31;2;2;1;1;2;4
1132;1;55;1;2;NA;2;3;3
1133;2;42;1;2;2;2;4;5
1134;2;54;2;1;2;4;4;4
1135;2;59;2;2;2;2;3;4
1136;2;55;2;2;2;2;3;2
1137;1;23;1;1;1;1;3;4
1138;1;47;2;1;NA;NA;3;NA
1139;2;74;2;3;2;4;4;4
1140;2;41;1;2;2;NA;3;NA
1141;1;66;3;2;1;1;3;4
1142;2;67;1;1;1;2;4;4
1143;2;54;2;2;2;2;2;3
1144;2;42;1;1;1;2;5;5
1145;1;27;1;1;2;1;4;4
1146;2;38;1;2;1;1;2;4
1147;2;57;2;2;2;4;4;3
1148;1;67;2;2;1;2;4;4
1149;1;45;2;2;1;1;4;4
1150;2;20;4;NA;NA;NA;4;NA
1151;1;23;1;1;1;2;4;4
1152;2;43;2;2;1;1;3;4
1153;2;40;2;1;2;2;4;4
1154;2;50;2;2;4;2;4;4
1155;2;38;2;1;2;2;4;4
1156;1;43;2;2;2;1;2;4
1157;1;51;2;1;NA;NA;4;NA
1158;2;40;2;2;NA;NA;4;NA
1159;2;70;2;1;3;NA;4;NA
1160;1;28;1;1;1;2;4;4
1161;1;29;1;1;1;2;3;4
1162;1;42;1;1;1;1;4;4
1163;1;48;2;1;1;4;4;4
1164;2;67;4;4;4;2;4;3
1165;1;62;2;1;2;2;4;4
1166;1;52;1;1;2;2;4;5
1167;1;45;1;1;1;1;4;4
1168;1;50;1;2;1;1;4;4
1169;2;65;2;2;NA;1;4;4
1170;2;23;2;1;NA;NA;4;NA
1171;1;64;1;1;3;1;4;4
1172;1;54;1;2;2;2;5;4
1173;2;35;2;1;2;NA;2;NA
1174;2;55;1;2;1;2;4;4
1175;2;54;2;NA;NA;NA;4;NA
1176;2;57;2;1;2;2;5;5
1177;2;21;2;2;1;1;3;4
1178;2;47;1;5;1;2;1;4
1179;2;67;1;2;1;3;3;4
1180;1;55;1;1;2;1;NA;4
1181;1;31;1;2;1;2;4;4
1182;1;25;1;NA;NA;NA;4;NA
1183;2;41;1;1;1;1;4;4
1184;2;36;1;1;2;1;4;4
1185;1;73;1;1;2;2;3;4
1186;2;47;2;2;4;2;3;3
1187;1;37;2;1;NA;NA;2;NA
1188;2;60;2;2;1;2;5;4
1189;1;66;2;2;NA;2;4;4
1190;1;29;1;1;2;1;4;4
1191;2;50;1;1;2;NA;3;NA
1192;1;75;1;1;1;1;4;5
1193;2;43;2;2;2;2;4;4
1194;2;61;1;NA;NA;NA;4;NA
1195;2;60;1;1;2;1;3;3
1196;1;48;1;1;1;1;4;5
1197;2;57;1;1;1;1;4;4
1198;2;42;2;1;3;1;5;5
1199;2;53;2;4;2;2;2;3
1200;2;75;2;2;3;2;NA;3
1201;2;70;2;2;2;1;3;4
1202;2;88;2;2;2;1;4;4
1203;2;43;1;1;2;1;4;4
1204;2;69;1;2;1;2;4;4
1205;2;56;1;NA;NA;NA;4;NA
1206;2;42;2;2;3;1;4;4
1207;2;62;1;1;1;1;4;4
1208;2;21;1;1;2;2;4;4
1209;1;63;1;1;1;1;4;4
1210;1;65;1;1;1;1;4;4
1211;1;24;1;2;2;2;4;4
1212;2;58;1;NA;2;2;4;4
1213;2;24;1;1;NA;NA;4;NA
1214;2;36;2;4;2;2;4;3
1215;2;45;5;1;2;3;3;2
1216;1;29;1;NA;NA;NA;5;NA
1217;1;49;1;1;1;1;5;5
1218;2;34;4;1;2;2;2;3
1219;2;42;2;1;2;3;2;4
1220;1;69;2;2;2;1;3;4
1221;1;37;2;1;1;1;4;4
1222;2;42;2;2;2;1;4;4
1223;2;73;2;2;2;1;4;4
1224;2;73;1;1;1;2;5;3
1225;1;70;2;1;2;2;3;3
1226;1;42;2;4;4;2;3;4
1227;1;70;1;1;4;1;4;4
1228;2;71;2;3;2;2;3;4
1229;2;45;1;1;1;1;4;4
1230;1;24;2;1;3;NA;5;NA
1231;2;44;1;1;1;1;3;4
1232;2;36;2;1;1;1;3;3
1233;2;24;2;NA;NA;NA;3;NA
1234;2;20;2;2;NA;2;5;4
1235;1;34;1;3;2;2;5;4
1236;1;57;1;1;1;3;2;5
1237;2;31;1;1;3;2;2;3
1238;2;30;2;NA;1;NA;2;NA
1239;1;32;1;2;2;2;4;3
1240;1;57;1;NA;NA;NA;4;NA
1241;2;24;2;2;2;3;4;3
1242;1;53;2;2;3;3;2;4
1243;2;60;5;NA;NA;NA;4;NA
1244;1;24;1;NA;NA;NA;4;NA
1245;2;20;1;2;2;NA;5;NA
1246;1;21;1;NA;2;NA;4;NA
1247;2;75;2;2;3;2;4;4
1248;2;56;1;1;NA;NA;4;NA
1249;2;36;1;2;2;2;4;5
1250;1;46;2;NA;NA;NA;2;NA
1251;2;26;1;2;NA;1;4;5
1252;2;46;2;1;2;2;3;2
1253;2;53;1;1;4;1;2;4
1254;2;24;1;1;1;2;2;3
1255;1;80;4;1;2;NA;3;NA
1256;1;29;2;2;2;2;4;4
1257;1;55;5;2;4;1;4;4
1258;1;60;1;1;1;1;3;3
1259;1;20;2;2;2;2;3;3
1260;2;40;2;2;2;1;4;3
1261;1;31;1;NA;NA;NA;4;NA
1262;2;58;1;2;NA;NA;4;NA
1263;1;34;1;NA;NA;NA;4;NA
1264;1;55;1;1;NA;NA;4;NA
1265;1;31;1;NA;NA;NA;4;NA
1266;2;68;2;2;1;2;4;4
1267;2;65;2;2;1;2;4;5
1268;2;34;2;2;5;5;4;1
1269;2;23;1;1;2;1;4;4
1270;2;42;1;2;2;1;3;4
1271;2;66;2;2;2;2;3;3
1272;2;34;2;NA;NA;NA;4;NA
1273;2;55;2;3;3;1;4;4
1274;2;49;5;5;5;1;NA;4
1275;2;45;1;3;2;5;3;3
1276;1;42;2;1;2;3;4;4
1277;2;40;2;1;1;1;3;5
1278;2;38;2;1;1;1;3;3
1279;1;35;1;1;2;1;4;4
1280;2;69;2;4;4;5;3;3
1281;1;63;2;1;1;2;3;2
1282;2;48;2;2;4;4;3;4
1283;2;59;1;1;NA;2;3;4
1284;2;56;1;3;1;2;2;3
1285;2;63;1;1;1;1;3;4
1286;2;35;1;1;1;2;4;3
1287;1;27;2;2;2;2;3;4
1288;1;28;2;4;NA;NA;4;NA
1289;1;73;2;1;2;2;3;4
1290;1;69;2;2;1;2;4;4
1291;2;40;2;NA;2;3;NA;3
1292;2;67;1;2;3;2;5;4
1293;1;56;1;1;1;1;4;4
1294;2;20;4;2;2;2;5;4
1295;2;42;2;2;1;2;3;4
1296;2;60;1;1;2;1;3;4
1297;2;51;1;2;1;2;NA;3
1298;1;58;2;3;2;2;4;4
1299;2;71;2;2;2;2;4;4
1300;2;50;NA;2;2;2;3;5
1301;2;63;1;1;2;5;1;2
1302;2;27;1;2;NA;NA;5;NA
1303;2;28;2;2;2;2;1;4
1304;1;43;2;1;2;2;2;2
1305;2;36;2;1;NA;2;4;3
1306;2;30;1;1;2;2;4;4
1307;1;45;2;NA;NA;NA;2;NA
1308;1;29;2;2;2;1;4;5
1309;1;45;1;1;1;NA;5;NA
1310;2;40;2;1;1;2;4;3
1311;1;62;2;1;NA;NA;2;NA
1312;2;72;3;1;1;2;4;3
1313;2;24;2;1;5;5;4;2
1314;2;28;1;1;NA;2;4;4
1315;2;63;2;1;2;1;4;5
1316;2;66;1;1;2;2;NA;5
1317;1;51;1;2;1;5;2;4
1318;1;64;4;2;2;2;4;5
1319;2;58;2;1;1;1;5;5
1320;2;29;2;1;1;2;5;4
1321;2;32;1;1;NA;2;5;4
1322;2;35;2;1;2;1;3;4
1323;1;40;1;1;2;1;4;5
1324;2;18;1;NA;2;NA;3;NA
1325;2;50;5;2;4;NA;4;NA
1326;1;47;1;1;1;1;2;4
1327;2;65;2;2;1;2;2;2
1328;2;67;5;2;1;2;1;4
1329;2;55;5;3;4;2;2;3
1330;1;74;1;1;2;1;1;3
1331;1;51;5;1;2;2;4;4
1332;1;38;1;1;1;1;4;4
1333;2;69;1;2;1;1;4;5
1334;1;52;2;1;1;NA;4;NA
1335;1;75;2;5;2;2;4;4
1336;2;33;1;2;1;2;4;5
1337;2;53;1;2;2;1;4;4
1338;1;48;2;1;NA;NA;5;NA
1339;2;56;5;1;1;1;4;3
1340;1;32;1;1;1;1;4;4
1341;2;27;1;2;2;2;4;4
1342;2;22;2;NA;NA;NA;4;NA
1343;1;55;1;NA;NA;NA;4;NA
1344;1;62;4;1;1;2;4;4
1345;2;32;1;1;2;2;3;4
1346;1;64;2;1;5;2;4;3
1347;2;56;2;2;3;3;3;5
1348;2;75;2;2;NA;NA;4;NA
1349;1;24;1;4;2;2;2;3
1350;1;27;4;2;2;2;2;5
1351;1;26;2;1;2;3;4;4
1352;2;56;2;2;2;2;5;4
1353;1;42;1;2;1;2;1;4
1354;1;41;2;NA;NA;2;4;4
1355;2;47;2;2;2;2;2;2
1356;2;59;4;5;4;2;2;2
1357;2;74;4;2;2;2;2;4
1358;2;67;4;1;3;2;1;4
1359;1;38;2;NA;NA;NA;4;NA
1360;2;51;2;1;2;2;4;4
1361;1;63;1;2;2;2;5;5
1362;2;29;2;NA;NA;NA;4;NA
1363;1;36;1;1;1;2;4;4
1364;1;75;1;1;1;2;4;4
1365;1;65;1;1;1;1;4;4
1366;2;54;2;1;2;2;5;4
1367;2;74;1;1;2;2;4;2
1368;2;59;1;2;2;3;4;4
1369;1;25;1;1;NA;2;2;4
1370;2;32;2;2;2;2;4;4
1371;2;50;2;4;4;4;1;4
1372;2;39;1;1;3;1;5;4
1373;2;27;2;2;1;1;5;5
1374;2;40;1;NA;NA;NA;4;NA
1375;2;28;1;NA;NA;NA;4;NA
1376;1;43;1;NA;NA;NA;4;NA
1377;2;72;2;4;4;2;4;4
1378;2;56;1;2;1;1;4;4
1379;2;75;4;NA;NA;NA;4;NA
1380;2;57;2;NA;2;3;4;4
1381;1;49;2;1;2;1;4;2
1382;1;51;1;3;3;1;4;3
1383;1;25;1;1;1;2;4;3
1384;2;75;1;NA;2;2;4;4
1385;1;52;1;2;2;2;4;4
1386;2;38;2;2;NA;NA;4;NA
1387;2;66;2;4;3;3;4;4
1388;2;53;2;1;2;1;3;4
1389;1;66;1;NA;NA;NA;2;NA
1390;1;32;2;2;2;2;4;4
1391;2;30;3;1;2;2;4;5
1392;1;74;1;1;2;1;4;4
1393;2;65;2;2;1;4;2;2
1394;2;36;1;1;2;2;4;4
1395;2;58;2;4;4;2;4;3
1396;2;43;2;2;2;4;4;2
1397;2;55;2;2;5;1;4;5
1398;2;38;1;2;2;2;NA;3
1399;2;42;2;1;1;2;3;5
1400;2;36;1;1;1;1;3;1
1401;1;41;1;NA;NA;NA;3;NA
1402;2;55;1;2;2;2;4;4
1403;2;53;2;2;2;4;4;3
1404;1;40;1;1;2;1;4;4
1405;2;46;2;2;2;3;4;3
1406;2;37;1;1;1;2;4;4
1407;2;65;1;2;2;2;3;3
1408;2;34;1;1;2;2;4;4
1409;2;55;3;2;1;3;4;4
1410;1;30;2;1;1;2;2;4
1411;1;29;2;NA;NA;NA;4;NA
1412;2;50;2;1;2;2;5;5
1413;1;73;2;2;3;2;4;4
1414;2;55;4;1;3;3;4;4
1415;2;55;1;NA;1;2;2;4
1416;2;40;1;NA;1;1;4;4
1417;1;46;1;1;NA;NA;4;NA
1418;1;40;2;1;2;2;4;3
1419;1;48;1;NA;1;1;4;4
1420;1;40;1;NA;NA;NA;3;NA
1421;1;53;1;1;NA;NA;4;NA
1422;1;50;1;1;1;1;4;3
1423;2;48;1;3;3;4;4;2
1424;1;63;1;1;1;2;5;4
1425;1;50;1;2;1;1;5;4
1426;1;30;2;2;1;2;4;4
1427;1;41;1;NA;NA;NA;4;NA
1428;1;40;2;1;1;2;4;5
1429;1;36;2;2;NA;2;3;4
1430;1;50;2;NA;2;2;5;4
1431;2;33;1;1;1;NA;4;NA
1432;2;40;2;1;2;2;5;4
1433;2;48;4;2;4;2;1;3
1434;1;36;2;3;4;3;4;4
1435;2;56;1;1;1;1;NA;4
1436;1;30;1;2;4;1;2;4
1437;1;51;2;1;2;2;2;4
1438;1;45;1;1;1;NA;4;NA
1439;2;49;2;2;1;2;4;2
1440;2;65;5;2;5;NA;4;NA
1441;1;36;2;2;2;2;4;4
1442;1;39;2;1;2;1;4;4
