      300280       1    2.67    3.00    2.75    2.00    3.00    4.00    2.00    2.75    2.33    3.00    1.67    2.75
      300281       1    2.67    2.75    3.50    2.33    3.00    4.00    1.67    3.50    4.00    4.00    1.33    3.00
      300282       2    3.33    2.75    2.25    1.33    2.00    2.75    1.00    2.00    2.00    2.00    1.00    1.75
      300283       2    2.67    3.25    2.25    2.00    2.67    2.25    2.33    2.00    3.00    2.75    2.00    2.25
      300284       1    1.00    2.00    2.00    1.00    2.00    2.25    1.00    1.50    1.33    2.00    1.00    1.75
      300285       2    1.33    2.00    1.00    1.00    1.00    1.75    1.33    1.25    1.00    2.75    2.00    1.00
      300286       2    2.33    3.00    1.75    2.67    1.67    2.75    3.00    2.25    2.67    3.00    1.67    1.25
      300287       2    1.00    3.00    2.50    2.00    1.00    2.25    1.33    2.25    1.33    2.25    1.00    2.75
      300288       2    1.33    2.50    2.25    1.67    2.00    2.00    1.00    1.50    1.67    2.25    2.00    1.50
      300289       2    2.33    2.75    3.00    3.00    2.67    3.25    2.33    3.00    3.67    3.75    2.67    2.50
      300290       1    2.00    2.75    3.25    2.33    2.67    3.00    3.33    3.50    2.00    3.00    2.33    2.75
      300291       2    3.00    2.75    3.00    2.33    2.33    2.75    2.67    2.75    3.00    2.50    2.33    2.75
      300292       2    2.67    3.75    3.75    3.00    3.00    3.50    2.67    3.50    3.33    4.00    1.33    3.75
      300293       1    1.00    2.50    3.00    3.00    2.00    2.75    3.00    2.25    2.67    2.25    2.33    2.25
      300294       2    2.33    2.75    2.75    2.33    2.33    2.75    2.33    2.25    3.67    2.75    3.00    2.00
      300295       1    3.67    3.25    3.75    3.00    2.67    2.00   99.00   99.00   99.00   99.00   99.00   99.00
      300296       2    2.33    2.50    1.75    1.33    2.00    2.25    1.00    2.00    1.00    2.00    3.00    1.00
      300298       2    2.67    2.75    1.00    1.00    2.33    1.00    1.33    2.75    3.33    3.00    1.33    2.50
      300299       2    2.33    3.25    3.00    1.00    2.67    2.00   99.00   99.00    3.00    3.00   99.00   99.00
      300300       1    1.33    3.25    1.50    1.00    1.33    2.50    1.00    1.50    1.00    3.50    2.00    1.50
      300301       2    2.00    3.00    2.50    2.00    1.67    3.50    1.00    1.25    2.00    3.00    1.67    2.00
      400101       2    1.67    3.75    2.75    3.00    2.67    2.75    2.33    2.00    2.33    2.25    2.33    1.75
      400102       2    1.00    2.00    3.25    2.33    1.00    1.50    1.00    2.50    1.33    2.00    1.00    2.50
      400104       2    2.33    3.25    3.50    2.00    1.67    3.00    1.00    3.75    1.00    2.75    1.00    2.50
      400106       1    1.33    2.00    2.25    1.67    2.33    1.75   99.00   99.00    1.67    1.50    1.00    2.25
      400108       1    1.00    2.75    2.75    4.00    1.33    2.50    2.00    1.25    1.00    2.50    3.67    1.50
      400109       2    2.33    2.50    2.50    1.00    1.67    2.75    1.67    2.00    2.67    2.75    1.00    2.00
      400110       1    2.00    1.75    2.25    1.33   99.00   99.00   99.00   99.00   99.00   99.00   99.00   99.00
      400111       1    1.33    1.75    2.75    1.00    1.00    2.00    1.00    1.25    1.00    1.75    1.67    1.50
      400112       1    2.00    2.25    2.25    3.00    2.00    1.75    2.67    1.75    1.67    1.25    2.00    2.75
      400113       2    2.00    3.50    3.00    3.00    2.67    3.50    2.00    3.00    3.00    3.50    2.33    2.50
      400115       1    1.33    2.50    3.50    3.00    1.67    2.00    1.67    2.75    1.67    2.50    2.00    3.00
      400120       1    1.67    3.25    2.50    1.00    1.00    2.50    1.67    2.33    2.00    2.00    1.00    1.50
      400122       1    1.00    1.50    1.50    2.00   99.00   99.00   99.00   99.00   99.00   99.00   99.00   99.00
      400124       1    2.67    3.50    2.25    2.33    2.33    2.25    2.67    2.25    2.33    1.75    2.33    2.00
      400303       2    1.00    2.00    3.00    2.33    1.00    1.25    2.67    2.50    1.00    1.00    1.67    2.50
      400304       2    1.67    3.50    2.25    1.33    2.00    3.25    1.33    1.75    2.00    3.00    1.00    2.00
      400305       2    1.67    3.25    2.50    1.33    1.67    2.75    1.33    1.50    1.33    2.75    1.33    1.75
      400307       1    1.67    1.75    2.75    1.00    1.00    1.50    1.67    2.25    1.33    1.75    1.00    2.25
      400309       1    2.67    2.75    2.00    2.00    1.67    2.00    2.67    2.00    2.33    1.75    2.00    1.50
      400310       2    2.00    2.50    2.00    1.00    2.00    1.25    1.33    2.50    3.00    2.50    1.00    1.25
      400313       2    1.00    2.50    2.50    2.00    1.33    2.00    1.67    1.50    1.00    2.75    1.00    2.00
      400314       1    2.00    3.00    3.00    2.00    2.00    2.00    2.00    2.25    2.67    2.75    1.33    1.75
      400315       1    3.67    3.50    3.00    3.00    3.67    3.25    2.33    3.00    3.00    3.00    2.00    3.00
      400316       2    2.33    3.00    2.50    2.67    2.67    3.50    2.67    2.50    2.33    3.00   99.00   99.00
      400317       2    3.00    2.50    2.75    1.00    2.67    2.25    1.00    1.75    2.33    1.00    1.00    2.25
      400318       1    1.67    2.00    2.25    1.67    1.33    2.50    1.33    1.75    1.00    2.50    1.00    1.50
      400319       1    1.00    2.25    2.75    2.00   99.00   99.00   99.00   99.00   99.00   99.00   99.00   99.00
      400321       2    2.33    2.50    2.75    1.67    2.00    3.00    2.00    2.25    2.67    2.00    2.33    2.25
      400322       1    2.00    3.25    2.00    1.00    2.33    2.25    1.00    1.75    2.33    2.75    1.67    1.75
      400323       1   99.00   99.00   99.00    1.33    2.00    1.00    1.33    1.75    1.67    1.00    1.67    2.00
      400324       1    2.67    3.00    3.25    2.67    2.33    3.25    3.00    3.25    2.67    2.75    2.33    3.00
      400325       2    1.67    2.50    2.25    2.33    3.00    2.50    2.00    2.50    2.67    2.25    1.33    2.25
      400326       1    2.00    1.25    3.50    3.33    2.67    1.75    2.67    3.50    1.67    1.75    3.00    2.75
      400327       2    3.33    2.75    2.00    2.00    2.67    3.50    1.33    1.00    2.67    3.50    1.00    2.00
      400328       1    2.67    3.25    2.00    1.00    2.33    2.25    1.33    2.75    3.00    3.00    1.67    3.00
      400329       2    2.33    2.75    2.50    1.00    2.00    2.25    2.00    2.25    2.00    2.25    1.67    3.25
      400330       1    1.00    2.50    3.25    1.67    1.00    2.25    2.67    2.25    2.33    2.00    2.00    3.25
      400336       1    1.33    2.25    2.75    2.33    1.33    1.75    2.67    1.50    1.00    1.50    2.67    2.50
      400342       1    3.00    2.75    3.25    3.67    3.00    2.75    4.00    3.25    3.33    3.25    4.00    3.50
      400344       2    3.00    2.75    3.00    1.67    2.00    2.50    1.00    2.25    2.67    2.25    1.00    2.50
      400346       2    1.33    1.75    2.00    2.00    1.00    1.75    1.00    1.75    1.00    2.00    1.67    1.50
      400347       1    1.00    2.75    2.50    1.33    1.00    2.50    1.00    2.25    1.67    2.50    1.00    2.00
      400349       1    1.67    2.50    4.00    3.67    1.67    2.75    3.33    4.00    1.33    1.50    4.00    4.00
      400350       1    3.00    2.75    3.00    2.33    2.00    1.75    2.67    2.25    3.00    1.50    2.67    3.00
      400351       1    4.00    2.50    3.00    2.00    4.00    2.75    2.33    2.75    3.33    3.00    1.67    2.75
      400352       1    1.67    1.00    3.25    2.33    1.33    2.25    2.33    2.75    1.00    3.25    2.33    2.75
      400353       1    2.67    3.00    3.50    2.67    2.33    3.00    3.00    3.25    3.00    3.00    3.00    3.00
      400354       2    2.67    2.25    2.00    1.00    1.00    1.75    1.33    2.25    1.00    2.00    1.00    1.00
      400356       1    3.00   99.00    3.50    2.33    2.33    2.25    2.00    2.75    2.33    2.50    2.67    2.75
      400359       1    2.33    1.75    2.00    3.67    2.67    2.00    2.67    2.25    2.00    1.00    2.33    2.25
      400365       2    1.67    3.00    3.00    2.33    1.67    2.25    3.00    2.00    2.00    2.50    1.33    2.25
      400366       2    2.00    2.75    3.25    2.00    1.00    3.00    3.00    3.00    1.00    2.75    1.33    2.50
      400368       1    2.67    3.25    2.75    2.33    2.33    3.75    2.67    1.75    1.67    3.25    2.67    2.00
      400371       2    2.33    2.50    2.50    2.67    2.33    2.50    2.00    2.50    2.00    1.25    2.00    2.00
      400372       2    2.33    2.25    2.75    2.33    2.33    3.75    2.00    2.75    1.67    2.25    2.00    2.75
      400373       1    2.00    2.50    3.00    1.00    1.00    2.00    1.00    2.25    1.67    2.00    1.00    2.50
      400374       2    3.00    3.00    3.00    3.67    2.33    2.67    2.00    1.25    1.00    2.25    1.00    2.00
      400375       1    1.00    2.75    3.50    1.00    1.33    1.75    2.00    2.50    1.00    1.75    1.00    1.25
      400376       1    1.00    1.75    2.75    3.00    1.67    1.00    1.00    2.50    2.00    1.00    1.00    2.25
      400377       1    2.33    3.00    2.75    2.67    3.00    2.50    2.00    3.00    3.00    3.00    2.67    2.50
      400379       1    2.67    3.50    2.25    2.00    2.67    3.25    2.67    2.75    2.00    2.25    2.00    1.75
      400380       1    1.67    2.00    3.25    3.00    1.67    3.00    3.00    2.50    1.67    3.00    3.00    2.50
      400381       2    3.00    2.75    2.25    1.33    2.67    2.75    2.67    2.75    2.33    3.50    1.67    3.25
      400382       2    2.33    2.75    3.00    1.67    2.67    3.00    1.67    3.00    2.33    2.50    1.33    2.00
      400383       2    2.67    2.75    2.50    2.33    3.67    2.75    3.00    1.75    2.67    3.00    2.00    1.75
      400385       1    2.00    1.75    3.00    2.00    3.33    1.75    1.67    2.50    1.67    2.25    2.00    2.50
